split,column,n_rows,n_missing,pct_missing,n_unique,dtype
silver_train,tconst,7959,0,0.0,7959,str
silver_train,primaryTitle,7959,0,0.0,7816,str
silver_train,originalTitle,7959,3988,50.11,3944,str
silver_train,startYear,7959,0,0.0,104,Float64
silver_train,runtimeMinutes,7959,0,0.0,185,Float64
silver_train,numVotes,7959,0,0.0,5118,Float64
silver_train,label,7959,0,0.0,2,Int8
silver_train,_row_id,7959,0,0.0,7959,int64
silver_train,is_long_film,7959,13,0.16,1,Int8
silver_train,is_old_film,7959,0,0.0,2,Int8
silver_train,is_blockbuster,7959,0,0.0,2,Int8
silver_train,is_foreign_title,7959,0,0.0,2,Int8
silver_train,title_word_count,7959,0,0.0,15,Int16
silver_train,title_has_number,7959,0,0.0,2,Int8
