tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label,n_directors,n_writers,log_numVotes,len_primaryTitle,decade,votes_per_year,is_long_film,is_foreign_title,title_has_number,title_word_count,avg_rating,imdb_votes,n_genres,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci_Fi,genre_Sport,genre_Thriller,genre_War,genre_Western
tt0015224,Peter Pan,1924.0,105.0,1042.0,1,1,2,6.949856455000773,9,1920.0,0.06813584759804679,0,0,0,2,7.1,1479,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0015864,The Gold Rush,1925.0,95.0,107475.0,1,1,1,11.585022845810611,13,1920.0,0.11470319649317437,0,0,0,3,8.1,127661,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016029,The Little Colonel,1935.0,81.0,1646.0,1,1,3,7.4067107301776405,18,1930.0,0.0813924256063477,0,0,0,3,7.0,2064,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
tt0021309,The Story of the Fox,1937.0,63.0,3559.0,1,2,6,8.177515823846075,20,1930.0,0.09188220026793344,0,1,0,5,7.6,1745,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022395,The Skin Game,1931.0,85.0,3559.0,0,1,3,8.177515823846075,13,1930.0,0.08607911393522184,0,0,0,3,5.7,3940,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022485,Tokyo Chorus,1931.0,90.0,1364.0,1,1,2,7.21890970761906,12,1930.0,0.07598852323809537,0,0,0,2,7.1,1695,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022550,Waterloo Bridge,1931.0,81.0,2828.0,1,1,3,7.947678571301568,15,1930.0,0.08365977443475334,0,0,0,2,7.4,3425,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0022802,The Dark Horse,1932.0,75.0,1232.0,1,1,4,7.117205503164344,14,1930.0,0.0757149521613228,0,0,0,3,6.7,1424,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0022913,Freaks,1932.0,64.0,44794.0,1,1,6,10.709851805031679,6,1930.0,0.11393459367054978,0,0,0,1,7.8,54473,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0023634,"I Was Born, But...",1932.0,100.0,5332.0,1,1,3,8.581669210600602,18,1930.0,0.09129435330426172,0,0,0,4,7.8,6711,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023686,What Price Hollywood?,1932.0,88.0,2294.0,1,1,8,7.738488122494646,21,1930.0,0.08232434172866644,0,0,0,3,7.0,2905,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024188,Island of Lost Souls,1932.0,70.0,9091.0,1,1,3,9.115150184972434,20,1930.0,0.09696968281885568,0,0,0,4,7.3,12185,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tt0024264,Little Women,1933.0,115.0,3559.0,1,1,10,8.177515823846075,12,1930.0,0.08793027767576425,0,0,0,2,7.1,8508,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
tt0024617,The Story of Temple Drake,1933.0,70.0,1448.0,1,1,3,7.278628942320682,25,1930.0,0.07826482733678153,0,0,0,5,7.1,2164,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024844,L'Atalante,1934.0,89.0,15408.0,1,1,3,9.642707033281853,10,1930.0,0.10481203297045492,0,0,0,1,7.7,18580,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024852,March of the Wooden Soldiers,1934.0,77.0,6625.0,1,2,4,8.798756582859841,28,1930.0,0.0956386585093461,0,0,0,5,7.1,8232,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0024966,Chapayev,1934.0,93.0,1249.0,1,2,4,7.1308988302963465,8,1930.0,0.0775097698945255,0,1,0,1,7.0,1590,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0026104,Becky Sharp,1935.0,84.0,1074.0,0,1,3,6.980075940561763,11,1930.0,0.07670413121496443,0,0,0,2,5.8,1461,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0028683,Camille,1936.0,109.0,7823.0,1,1,5,8.964951211714654,7,1930.0,0.09961056901905171,0,0,0,1,7.3,9458,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0029442,The Prisoner of Zenda,1937.0,101.0,3559.0,1,2,7,8.177515823846075,21,1930.0,0.09188220026793344,0,0,0,4,7.6,5425,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0029942,Boys Town,1938.0,96.0,5544.0,1,1,4,8.620651899784468,9,1930.0,0.09796195340664168,0,0,0,2,7.2,6895,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0031580,The Little Princess,1939.0,93.0,5980.0,1,2,3,8.696343057044556,19,1930.0,0.09995796617292593,0,0,0,3,7.2,7274,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0031750,The Old Maid,1939.0,95.0,3676.0,1,1,3,8.209852481301272,12,1930.0,0.09436612047472727,0,0,0,3,7.4,4328,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0031971,Stagecoach,1939.0,96.0,46868.0,1,1,3,10.755111755080012,10,1930.0,0.12362197419632198,0,0,0,1,7.8,58487,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0032152,You Can't Cheat an Honest Man,1939.0,79.0,3559.0,1,2,8,8.177515823846075,29,1930.0,0.09399443475685144,0,0,0,6,6.9,2007,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0032155,Young Mr. Lincoln,1939.0,100.0,7926.0,1,1,1,8.978029932837156,17,1930.0,0.10319574635445007,0,0,0,3,7.5,9879,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032325,Charlie Chan in Panama,1940.0,67.0,1365.0,1,1,4,7.2196420401307355,22,1940.0,0.0839493260480318,0,0,0,4,7.1,1646,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0032338,Christmas in July,1940.0,67.0,3706.0,1,1,1,8.217978203150732,17,1940.0,0.09555788608314805,0,0,0,3,7.3,4734,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0033253,The Westerner,1940.0,100.0,5663.0,1,1,7,8.641885635373555,13,1940.0,0.10048704227178552,0,0,0,2,7.2,7474,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
